#     run      RA         Dec        MJDstart       MJDend         node  inclination     mu0       nu0
#       1  318.620784  -1.053274   51464.171742   51464.188767  95.000000   0.000000 318.620784  -1.053274
    1927   76.691541  -6.955539   51886.284538   51886.306929 165.006258   5.807426  76.679472  -1.150603
    1992  151.470181   1.026350   51901.443582   51901.518630  95.001419   2.501552 151.469787  -1.059002
    2029  172.580689  -1.163055   51923.445889   51923.488181 300.323790   0.000839 172.580699  -1.162391
    2062  109.296974  23.311309   51933.281826   51933.360191  94.999425  62.495353 122.116896  -1.054819
    2064  120.851229  37.844308   51933.379005   51933.437468  94.998278  62.502722 139.696487  -1.271213
    2065  165.079852  62.287217   51933.469496   51933.529618  95.001436  64.989744 175.882012  -1.256703
    2068  119.347273  36.583388   51934.219533   51934.256021  94.990248  62.509796 137.965663  -1.069752
    2069  123.847648   1.146287   51934.289238   51934.334848  95.006244   5.000282 123.843040  -1.266782
    2073   33.231604  -9.890511   51935.135772   51935.178064  94.863697   9.971303  32.778303  -1.092938
    2074  121.723923  38.742554   51935.190553   51935.274309  94.997812  62.502923 140.826096  -1.272171
    2075  123.546206  40.532290   51935.289516   51935.314394  94.834600  62.688896 143.012360  -1.503933
    2076  111.939976  27.241624   51935.324905   51935.392904  94.983822  62.511776 126.708645  -1.073815
    2078  156.040669  60.535712   51935.412604   51935.523726  95.001882  64.996915 171.219478  -1.262768
    2125  120.497874   0.886210   51960.148670   51960.280523  94.984473   5.001525 120.482802  -1.268579
    2126  120.842693   1.125812   51960.290023   51960.469144  95.003796   4.999871 120.845493  -1.054574
    2127  180.089415  63.649179   51960.484706   51960.516218  95.002931  64.976834 182.823621  -1.242948
    2131  112.074586  24.698983   51961.100247   51961.210125  95.004337  59.987110 124.696389  -1.256186
    2133  172.976437  63.220752   51961.295098   51961.336976  95.002471  64.990059 179.614558  -1.255693
    2134  194.827166  63.393290   51961.368949   51961.522363  95.000931  64.996438 189.385545  -1.261875
    2137  110.783993  23.313804   51962.090398   51962.208154  94.998598  59.995050 122.886092  -1.056009
    2138  146.090174  52.166875   51962.217430   51962.270503  95.002233  59.999526 162.337657  -1.055206
    2140  122.436022  36.611341   51962.288341   51962.334780  94.999069  59.999471 139.553461  -1.266983
    2141  144.160623  -1.267554   51962.345274   51962.469664  92.857088   0.001543 144.160602  -1.268758
    2167  148.616887  52.879436   51980.160399   51980.210569  95.001239  60.006084 164.018898  -1.270401
    2168  170.096662   5.981599   51980.252572   51980.309377  95.004162   7.496477 170.176000  -1.264580
    2188  123.622210  -2.260014   51987.132586   51987.222561 274.980295   2.499837 123.685790  -1.060393
    2189  160.499277  61.730070   51987.242525   51987.292281  95.000670  65.016368 173.670982  -1.069579
    2190  183.506293   3.938878   51987.310281   51987.472817  94.987568   4.997093 183.509541  -1.056551
    2194  111.754780  -1.993262   51988.079255   51988.243035 275.018448   2.498214 111.822974  -1.272328
    2206  216.117048  62.741924   51991.263264   51991.405897  95.001144  67.496368 198.695241  -1.261058
    2207  242.309549  50.503262   51991.416320   51991.485564  94.978203  67.482460 217.358937  -1.239099
    2243  120.920846  35.111906   52014.103311   52014.266676  95.002087  59.994561 137.616519  -1.260747
    2247  162.338884   3.345998   52015.112037   52015.246793  95.005237   4.999380 162.373816  -1.268274
    2248  227.252353  56.193206   52015.256701   52015.366579  95.009286  65.006653 206.980688  -1.275106
    2259  122.366528  -2.419027   52016.123599   52016.209013 275.061903   2.494800 122.437967  -1.273084
    2298  151.385738  56.782082   52046.148882   52046.183297  95.002211  62.496555 167.343667  -1.049047
    2299  171.067848  60.714320   52046.191413   52046.323680  95.001214  62.498633 178.235635  -1.052614
    2304  137.814743  51.160115   52047.116690   52047.251860  95.001541  62.493824 157.605736  -1.048854
    2305  242.352223  44.434664   52047.262126   52047.334272  95.013829  62.511882 221.972857  -1.072183
    2326  168.273496  60.164739   52052.162904   52052.293513  95.001944  62.497326 176.766832  -1.262030
    2327  223.911341   0.679531   52052.303724   52052.340211  94.941289   2.496867 223.919321  -1.261733
    2328  242.197747  44.244286   52052.353128   52052.422787  95.003569  62.505782 222.035983  -1.270999
    2333  198.446434  -3.699316   52053.162471   52053.215129 274.993483   2.497541 198.421240  -1.270155
    2334  197.447184  -3.498367   52053.223187   52053.338455 274.975754   2.499212 197.425728  -1.058008
    2335  247.831453  42.614178   52053.355788   52053.414252  94.987719  64.997552 225.900809  -1.045837
